"No","Module","RPT_FileName","RPT_Folder","ObjectType","LayoutName","DocCode","TypeCode","Author","Bytes"
"50","C","ทะเบียนคุมลูกหนี้เงินยืม.rpt","_ExportedFromSAP","","ทะเบียนคุมลูกหนี้เงินยืม","RCRI0028","RCRI","manager","141312"
"51","C","ทะเบียนคุมสัญญา.rpt","_ExportedFromSAP","","ทะเบียนคุมสัญญา","RCRI0022","RCRI","manager","932352"
"52","C","ทะเบียนคุมสินทรัพย์ (ตามกลุ่ม).rpt","_ExportedFromSAP","","ทะเบียนคุมสินทรัพย์ (ตามกลุ่ม)","RCRI0021","RCRI","manager","337408"
"53","C","ทะเบียนคุมสินทรัพย์ (รายตัว).rpt","_ExportedFromSAP","","ทะเบียนคุมสินทรัพย์ (รายตัว)","RCRI0037","RCRI","manager","454144"
"54","C","ทะเบียนคุมหลักประกันสัญญา.rpt","_ExportedFromSAP","","ทะเบียนคุมหลักประกันสัญญา","RCRI0026","RCRI","Project","98304"
"55","C","ทะเบียนคุมหลักประกันสัญญา (หนังสือค้ำประกัน).rpt","_ExportedFromSAP","","ทะเบียนคุมหลักประกันสัญญา (หนังสือค้ำประกัน)","RCRI0027","RCRI","manager","134656"
"56","C","ประวัติการซ่อมบำรุงรักษาทรัพย์สิน.rpt","_ExportedFromSAP","","ประวัติการซ่อมบำรุงรักษาทรัพย์สิน","RCRI0042","RCRI","manager","73216"
"57","C","รายงานข้อมูลการจัดซื้อจัดจ้าง (ITA).rpt","_ExportedFromSAP","","รายงานข้อมูลการจัดซื้อจัดจ้าง (ITA)","RCRI0023","RCRI","manager","103424"
"58","C","รายงานดอกเบี้ยเงินฝาก.rpt","_ExportedFromSAP","","รายงานดอกเบี้ยเงินฝาก","RCRI0039","RCRI","manager","77312"
"59","C","รายงานทะเบียนคุมสินทรัพย์ (ตามผู้ดูแล).rpt","_ExportedFromSAP","","รายงานทะเบียนคุมสินทรัพย์ (ตามผู้ดูแล)","RCRI0020","RCRI","manager","151040"
"60","C","รายงานทะเบียนคุมสินทรัพย์ที่เพิ่มมาใหม่.rpt","_ExportedFromSAP","","รายงานทะเบียนคุมสินทรัพย์ที่เพิ่มมาใหม่","RCRI0032","RCRI","manager","76288"
"61","C","รายงานทะเบียนคุมสินทรัพย์รวม.rpt","_ExportedFromSAP","","รายงานทะเบียนคุมสินทรัพย์รวม","RCRI0019","RCRI","manager","61952"
"62","C","รายงานบัญชีวัสดุ.rpt","_ExportedFromSAP","","รายงานบัญชีวัสดุ","RCRI0030","RCRI","manager","91648"
"63","C","รายงานผลการโอนเงินผ่านระบบ KTB (บริหาร).rpt","_ExportedFromSAP","","รายงานผลการโอนเงินผ่านระบบ KTB (บริหาร)","RCRI0038","RCRI","Project","93184"
"64","C","รายงานผลการโอนเงินผ่านระบบ KTB (โครงการ).rpt","_ExportedFromSAP","","รายงานผลการโอนเงินผ่านระบบ KTB (โครงการ)","RCRI0033","RCRI","Project","82432"
"65","C","รายงานผลเบิกใช้.rpt","_ExportedFromSAP","","รายงานผลเบิกใช้","RCRI0010","RCRI","manager","813568"
"66","C","รายงานผลเบิกใช้ (ผูกพัน).rpt","_ExportedFromSAP","","รายงานผลเบิกใช้ (ผูกพัน)","RCRI0050","RCRI","manager","803840"
"67","C","รายงานรายละเอียดการเบิกจ่ายเงินโครงการ.rpt","_ExportedFromSAP","","รายงานรายละเอียดการเบิกจ่ายเงินโครงการ","RCRI0045","RCRI","manager","165888"
"68","C","รายงานรายได้จากผู้ผลิต - ผู้นำเข้า (ละเอียด).rpt","_ExportedFromSAP","","รายงานรายได้จากผู้ผลิต - ผู้นำเข้า (ละเอียด)","RCRI0012","RCRI","SLD01","456192"
"69","C","รายงานวัสดุคงเหลือ.rpt","_ExportedFromSAP","","รายงานวัสดุคงเหลือ","RCRI0029","RCRI","manager","72192"
"70","C","รายงานสถานะโครงการที่ได้รับการสนับสนุนเงินกองทุนเพื่อส่งเสริมการอนุรักษ์พลังงาน.rpt","_ExportedFromSAP","","รายงานสถานะโครงการที่ได้รับการสนับสนุนเงินกองทุนเพื่อส่งเสริมการอนุรักษ์พลังงาน","RCRI0046","RCRI","manager","414720"
"71","C","รายงานเงินรับฝากอื่น.rpt","_ExportedFromSAP","","รายงานเงินรับฝากอื่น","RCRI0011","RCRI","manager","229888"
"72","C","รายละเอียดค่าใช้จ่ายจ่ายล่วงหน้า.rpt","_ExportedFromSAP","","รายละเอียดค่าใช้จ่ายจ่ายล่วงหน้า","RCRI0034","RCRI","Project","290304"
"73","C","รายละเอียดค่าใช้จ่ายแผนงาน – โครงการ.rpt","_ExportedFromSAP","","รายละเอียดค่าใช้จ่ายแผนงาน – โครงการ","RCRI0015","RCRI","SLD01","189952"
"74","C","รายละเอียดเงินประกันผลงาน.rpt","_ExportedFromSAP","","รายละเอียดเงินประกันผลงาน","RCRI0040","RCRI","manager","99840"
"75","C","รายละเอียดเงินประกันสัญญา.rpt","_ExportedFromSAP","","รายละเอียดเงินประกันสัญญา","RCRI0041","RCRI","manager","123392"
"76","C","สรุปผลการดำเนินการจัดซื้อจัดจ้าง (สขร.).rpt","_ExportedFromSAP","","สรุปผลการดำเนินการจัดซื้อจัดจ้าง (สขร.)","RCRI0024","RCRI","manager","64000"
"77","C","แผนการเบิกจ่ายเงินประจำปีงบประมาณ (ภาพรวม).rpt","_ExportedFromSAP","","แผนการเบิกจ่ายเงินประจำปีงบประมาณ (ภาพรวม)","RCRI0052","RCRI","manager","445440"
"78","C","แผนการเบิกจ่ายเงินประจำปีงบประมาณ (รายละเอียด).rpt","_ExportedFromSAP","","แผนการเบิกจ่ายเงินประจำปีงบประมาณ (รายละเอียด)","RCRI0051","RCRI","manager","1589760"
"79","C","Incoming Enconfund.rpt","_ExportedFromSAP","24","Incoming Enconfund","RCT10006","RCT1","manager","112640"
"80","C","ใบเสร็จ (ต้นฉบับ).rpt","_ExportedFromSAP","24","ใบเสร็จ (ต้นฉบับ)","RCT10004","RCT1","manager","2898944"
"81","C","ใบเสร็จ (สำเนา).rpt","_ExportedFromSAP","24","ใบเสร็จ (สำเนา)","RCT10005","RCT1","manager","2898944"
"82","C","Check.rpt","_ExportedFromSAP","46","Check","VPM10004","VPM1","manager","71168"
"83","C","Outgoing Enconfund.rpt","_ExportedFromSAP","46","Outgoing Enconfund","VPM10006","VPM1","manager","109568"
"84","C","Outgoing Enconfund.01.rpt","_ExportedFromSAP","46","Outgoing Enconfund.01","VPM10005","VPM1","Project","102912"
"85","C","EFT FORM P RUN.rpt","_ExportedFromSAP","","EFT FORM P RUN","VPM40002","VPM4","Project","74752"
